classroom_id,building_id,classroom_name
1001001,1001,101 대형강의실
1001002,1001,201 대형강의실
1001003,1001,209 간호정보실습실
1001004,1001,305 강의실
1001005,1001,306강의실
1001006,1001,401기본간호학실습실
1001007,1001,403기초간호학실습실
1001008,1001,407 분반강의실
1001009,1001,408분반강의실
1001010,1001,505 간호실기평가실
1001011,1001,506간호실기평가실
1001012,1001,507간호실기평가실
1001013,1001,601 실습집담회실
1001014,1001,602실습집담회실
1001015,1001,603실습집담회실
1001016,1001,717세미나실
1002001,1002,경0101
1002002,1002,경0108
1002003,1002,경0109
1002004,1002,경0129
1002005,1002,경0130
1002006,1002,경0133
1002007,1002,경0201
1002008,1002,경0208
1002009,1002,경0211
1002010,1002,경0235
1002011,1002,경0239
1002012,1002,경0240
1002013,1002,경0301
1002014,1002,경0302
1002015,1002,경0303
1002016,1002,경0306
1002017,1002,경0309
1002018,1002,경0314
1002019,1002,경0315
1002020,1002,경0324
1002021,1002,경0327
1002022,1002,경0332
1002023,1002,경0333
1002024,1002,경0403
1002025,1002,경0404
1002026,1002,경0405
1003001,1003,공1107
1003002,1003,공1108
1003003,1003,공1124
1003004,1003,공1132-1
1003005,1003,공1143
1003006,1003,공1208
1003007,1003,공1216
1003008,1003,공1221
1003009,1003,공1224
1003010,1003,공1235
1003011,1003,공1244
1003012,1003,공1257
1003013,1003,공1259
1003014,1003,공1301
1003015,1003,공1312
1003016,1003,공1316
1003017,1003,공1320
1003018,1003,공1335
1003019,1003,공1338
1003020,1003,공1356
1003021,1003,공1359
1003022,1003,공1360
1003023,1003,공1375
1003024,1003,공1401
1003025,1003,공1409
1003026,1003,공1412
1003027,1003,공1414
1003028,1003,공1419
1003029,1003,공1430
1003030,1003,공1434
1003031,1003,공1440
1003032,1003,공1452
1003033,1003,공1466
1003034,1003,공1468
1004001,1004,공2103
1004002,1004,공2107
1004003,1004,공2108
1004004,1004,공2114
1004005,1004,공2127
1004006,1004,공2133
1004007,1004,공2137
1004008,1004,공2170
1004009,1004,공2201
1004010,1004,공2201-2
1004011,1004,공2204
1004012,1004,공2205
1004013,1004,공2228
1004014,1004,공2229
1004015,1004,공2258-A
1004016,1004,공2258-B
1004017,1004,공2258-C
1004018,1004,공2258-D
1004019,1004,공2258-E
1004020,1004,공2258-G
1004021,1004,공2258-H
1004022,1004,공2266
1004023,1004,공2301-2
1004024,1004,공2302
1004025,1004,공2303
1004026,1004,공2304
1004027,1004,공2304-1
1004028,1004,공2315
1004029,1004,공2316
1004030,1004,공2327
1004031,1004,공2328
1004032,1004,공2374
1004033,1004,공2401-A
1004034,1004,공2402
1004035,1004,공2421
1004036,1004,공2434-1
1004037,1004,공2435
1004038,1004,공2474
1004039,1004,공2501
1004040,1004,공2502
1004041,1004,공2503
1004042,1004,공2504
1004043,1004,공2505
1004044,1004,공2506
1004045,1004,공2507
1004046,1004,공2508
1004047,1004,공2509
1004048,1004,다2341
1004049,1004,다2343
1004050,1004,다2352
1004051,1004,다2354
1004052,1004,다2358
1004053,1004,다2360
1005001,1005,공3116
1005002,1005,공3217
1005003,1005,공3303
1005004,1005,공3304
1005005,1005,공3305
1005006,1005,공3306
1005007,1005,공3314
1005008,1005,공3317
1005009,1005,공3321-1
1005010,1005,공3323
1005011,1005,공3401
1005012,1005,공3426
1005013,1005,공3507
1005014,1005,공3517
1005015,1005,공3520
1006001,1006,공4108
1006002,1006,공4212
1006003,1006,공4213
