lecture_id,department_id,prof_id,classification_id,year,semester,lecture_name,level,lecture_number,lecture_division, grade,relative,passfail,english,active
20001,101005000,,115,2016,1,공학커뮤니케이션,1,10515,0,3,1,0,0,1
20002,101005000,,113,2016,1,글로벌공학리더십,1,10530,0,3,1,0,0,1
20003,101005000,,114,2016,1,글로벌공학기술과현대사회,1,10533,0,3,1,0,0,1
20004,101005000,,115,2016,1,공학입문,1,24079,0,3,1,0,0,1
20005,101005000,,115,2016,1,공학입문,1,24079,1,3,1,0,0,1
20006,101005000,,115,2016,1,공학입문,1,24079,2,3,1,0,0,1
20007,101005000,,115,2016,1,공학입문,1,24079,3,3,1,0,0,1
20008,101005000,,115,2016,1,공학입문,1,24079,4,3,1,0,0,1
20009,101005000,,115,2016,1,공학입문,1,24079,5,3,1,0,0,1
20010,101005000,,115,2016,1,공학입문,1,24079,6,3,1,0,0,1
20011,101005000,,115,2016,1,공학입문,1,24079,7,3,1,0,0,1
20012,101005000,,115,2016,1,공학입문,1,24079,8,3,1,0,0,1
20013,101005000,,115,2016,1,공학입문,1,24079,9,3,1,0,0,1
20014,101005000,10391,115,2016,1,프로그래밍언어,1,29161,0,2,1,0,0,1
20015,101005000,10391,115,2016,1,프로그래밍언어,1,29161,1,2,1,0,0,1
20016,101005000,20122,115,2016,1,프로그래밍언어,1,29161,2,2,1,0,0,1
20017,101005000,20122,115,2016,1,프로그래밍언어,1,29161,3,2,1,0,0,1
20018,101005000,20029,115,2016,1,프로그래밍언어,1,29161,4,2,1,0,0,1
20019,101005000,20043,115,2016,1,프로그래밍언어,1,29161,5,2,1,0,0,1
20020,101005000,20043,115,2016,1,프로그래밍언어,1,29161,6,2,1,0,0,1
20021,101005000,10956,115,2016,1,기초공학수학1,1,29163,0,3,1,0,0,1
20022,101005000,10971,115,2016,1,기초공학수학1,1,29163,1,3,1,0,0,1
20023,101005000,10967,115,2016,1,공학통계학,1,29165,0,3,1,0,0,1
20024,101005000,10957,115,2016,1,공학통계학,1,29165,1,3,1,0,0,1
20025,101005000,10366,114,2016,1,6.25 전쟁사,1,10500,0,3,1,0,0,1
20026,101005000,10377,114,2016,1,국가안보론,1,18154,0,3,1,0,0,1
20027,101000000,11654,105,2016,1,사회봉사(1),1,10383,0,1,0,1,0,1
20028,101000000,10615,105,2016,1,백마인턴십 Ⅱ,1,10899,0,18,0,1,0,1
20029,101000000,11654,114,2016,1,현대사회와 직업의 세계,1,18155,0,2,0,1,0,1
20030,101000000,11654,114,2016,1,직업과 진로,1,18156,0,2,0,1,0,1
20031,101000000,11654,114,2016,1,직업과 진로,1,18156,1,2,0,1,0,1
20032,101000000,,103,2016,1,교육봉사 2,1,18315,0,1,0,1,0,1
20033,101000000,,103,2016,1,교육봉사 1,1,18320,0,1,0,1,0,1
20034,101000000,10433,114,2016,1,창업의세계,1,28607,0,2,0,1,0,1
20035,101000000,10433,114,2016,1,창업의세계,1,28607,1,2,0,1,0,1
20036,101000000,11654,114,2016,1,프레젠테이션과면접스킬,1,28608,0,2,0,1,0,1
20037,101000000,10915,117,2016,1,스포츠융복합산업론,1,29149,0,3,1,0,0,1
20038,101000000,,117,2016,1,강소벤처기업의창조경영,1,29150,0,3,1,0,0,1
20039,101000000,11195,117,2016,1,백제문화와한류패션,1,29151,0,3,1,0,0,1
20040,101000000,10659,117,2016,1,예술과법,1,29152,0,3,1,0,0,1
20041,101000000,10625,117,2016,1,현대인의 경제활동과 법률,1,29153,0,3,1,0,0,1
20042,101000000,10433,102,2016,1,진로설계2,1,29803,0,1,1,0,0,1
20043,101000000,10433,102,2016,1,진로설계2,1,29803,1,1,1,0,0,1
20044,101000000,10774,102,2016,1,진로설계2,1,29803,2,1,1,0,0,1
20045,101000000,10772,102,2016,1,진로설계2,1,29803,3,1,1,0,0,1
20046,101000000,10584,102,2016,1,진로설계2,1,29803,4,1,1,0,0,1
20047,101000000,10584,102,2016,1,진로설계2,1,29803,5,1,1,0,0,1
20048,101000000,10774,102,2016,1,진로설계2,1,29803,6,1,1,0,0,1
20049,101000000,10775,102,2016,1,진로설계2,1,29803,7,1,1,0,0,1
20050,101000000,10433,102,2016,1,진로설계2,1,29803,8,1,1,0,0,1
20051,101000000,10775,102,2016,1,진로설계2,1,29803,9,1,1,0,0,1
20052,101000000,11654,114,2016,1,CEO의리더십과젠더의식,1,29842,0,2,0,1,0,1
20053,101000000,10467,117,2016,1,과학과문화,1,31465,0,3,1,0,0,1
20054,101000000,10652,117,2016,1,현대사회의법적이슈,1,31467,0,3,1,0,0,1
20055,101000000,10203,117,2016,1,범죄의진실과오해,1,31468,0,3,1,0,0,1
20056,101000000,,117,2016,1,공존을위한창의적설계,1,31469,0,3,1,0,0,1
20057,101000000,11426,105,2016,1,군사학 1,1,35501,0,3,0,0,0,1
20058,101000000,11426,105,2016,1,군사학 3,1,35503,0,3,0,0,0,1
20059,101000000,,105,2016,1,미술 감상법,1,80014,0,3,1,0,0,1
20060,101000000,,105,2016,1,비교경찰제도론,1,80019,0,3,1,0,0,1
20061,101000000,,105,2016,1,영어로공부하는아시아경제의이해,1,80022,0,3,0,0,0,1
20062,101000000,,105,2016,1,비만관리와건강,1,80030,0,3,0,0,0,1
20063,101000000,,105,2016,1,비즈니스일본어,1,80038,0,3,1,0,0,1
20064,101000000,,105,2016,1,데이터베이스구축의이론과실재:MS-SQL 2008 기반으로,1,80039,0,3,1,0,0,1
20065,101000000,,105,2016,1,컴퓨터네트워크,1,80042,0,3,1,0,0,1
