lecture_id,department_id,prof_id,classification_id,year,semester,lecture_name,level,lecture_number,lecture_division, grade,relative,passfail,english,active
10001,101005000,,115,2015,2,공학커뮤니케이션,1,10515,0,3,1,0,0,1
10002,101005000,11481,113,2015,2,글로벌공학리더십,1,10530,0,3,1,0,0,1
10003,101005000,,114,2015,2,글로벌공학기술과현대사회,1,10533,0,3,1,0,0,1
10004,101005000,10201,115,2015,2,공학입문,1,24079,0,3,1,0,0,1
10005,101005000,10201,115,2015,2,공학입문,1,24079,1,3,1,0,0,1
10006,101005000,10201,115,2015,2,공학입문,1,24079,2,3,1,0,0,1
10007,101005000,10196,115,2015,2,공학입문,1,24079,3,3,1,0,0,1
10008,101005000,10196,115,2015,2,공학입문,1,24079,4,3,1,0,0,1
10009,101005000,10196,115,2015,2,공학입문,1,24079,5,3,1,0,0,1
10010,101005000,10196,115,2015,2,공학입문,1,24079,6,3,1,0,0,1
10011,101005000,10962,115,2015,2,공학컴퓨터언어,1,29162,0,2,1,0,0,1
10012,101005000,10955,115,2015,2,공학컴퓨터언어,1,29162,1,2,1,0,0,1
10013,101017000,10366,114,2015,2,6.25 전쟁사,1,10500,0,3,1,0,0,1
10014,101017000,10363,114,2015,2,국가안보론,1,18154,0,3,1,0,0,1
10015,101000000,11654,105,2015,2,사회봉사(2),1,10384,0,1,0,1,0,1
10016,101000000,11654,114,2015,2,현대사회와 직업의 세계,1,18155,0,2,0,1,0,1
10017,101000000,11654,114,2015,2,직업과 진로,1,18156,0,2,0,1,0,1
10018,101000000,11654,114,2015,2,직업과 진로,1,18156,1,2,0,1,0,1
10019,101000000,10407,103,2015,2,교육봉사 2,1,18315,0,1,0,1,0,1
10020,101000000,10407,103,2015,2,교육봉사 1,1,18320,0,1,0,1,0,1
10021,101000000,10433,114,2015,2,창업의세계,1,28607,0,2,0,1,0,1
10022,101000000,10433,114,2015,2,창업의세계,1,28607,1,2,0,1,0,1
10023,101000000,11654,114,2015,2,프레젠테이션과면접스킬,1,28608,0,2,0,1,0,1
10024,101000000,,117,2015,2,스포츠융복합산업론,1,29149,0,3,1,0,0,1
10025,101000000,,117,2015,2,강소벤처기업의창조경영,1,29150,0,3,1,0,0,1
10026,101000000,,117,2015,2,백제문화와한류패션,1,29151,0,3,1,0,0,1
10027,101000000,,117,2015,2,예술과법,1,29152,0,3,1,0,0,1
10028,101000000,,117,2015,2,현대인의 경제활동과 법률,1,29153,0,3,1,0,0,1
10029,101000000,10773,114,2015,2,미래기업가되기,1,29834,0,3,1,0,0,1
10030,101000000,10128,114,2015,2,새로운시장발견과창업마케팅,1,29835,0,3,1,0,0,1
10031,101000000,10777,114,2015,2,청년기업가정신,1,29836,0,3,1,0,0,1
10032,101000000,11654,114,2015,2,CEO의리더십과젠더의식,1,29842,0,2,0,1,0,1
10033,101000000,,105,2015,2,경찰과 사회,1,80009,0,3,1,0,0,1
10034,101000000,,105,2015,2,미술 감상법,1,80014,0,3,1,0,0,1
10035,101000000,,105,2015,2,비교경찰제도론,1,80019,0,3,1,0,0,1
10036,101000000,,105,2015,2,영어로공부하는아시아경제의이해,1,80022,0,3,0,0,0,1
10037,101000000,,105,2015,2,비즈니스일본어,1,80038,0,3,1,0,0,1
10038,101000000,,105,2015,2,데이터베이스구축의이론과실재:MS-SQL 2008 기반으로,1,80039,0,3,1,0,0,1
10039,101000000,,105,2015,2,컴퓨터네트워크,1,80042,0,3,1,0,0,1
10040,101000000,,105,2015,2,평생교육프로그램개발,1,80045,0,3,1,0,0,1
10041,101000000,,105,2015,2,멘토링과코디네이터,1,80053,0,3,1,0,0,1
10042,101000000,,105,2015,2,미국소설과영화,1,80055,0,2,1,0,0,1
10043,101000000,,105,2015,2,형법각론(범죄와질서),1,80056,0,3,1,0,0,1
10044,101000000,,105,2015,2,중국어1,1,80057,0,3,1,0,0,1
10045,101000000,,105,2015,2,인간관계의심리학,1,80058,0,3,1,0,0,1
10046,101000000,,105,2015,2,인문학의향기,1,86001,0,2,0,1,0,1
10047,101000000,,105,2015,2,대전의재발견,1,86002,0,2,0,1,0,1
10048,101000000,10774,102,2015,2,진로설계2,2,29803,0,1,1,0,0,1
10049,101000000,10774,102,2015,2,진로설계2,2,29803,1,1,1,0,0,1
10050,101000000,10433,102,2015,2,진로설계2,2,29803,2,1,1,0,0,1
10051,101000000,10433,102,2015,2,진로설계2,2,29803,3,1,1,0,0,1
10052,101000000,10433,102,2015,2,진로설계2,2,29803,4,1,1,0,0,1
10053,101000000,10584,102,2015,2,진로설계2,2,29803,5,1,1,0,0,1
10054,101000000,10773,102,2015,2,진로설계2,2,29803,6,1,1,0,0,1
10055,101000000,10777,102,2015,2,진로설계2,2,29803,7,1,1,0,0,1
10056,101000000,10777,102,2015,2,진로설계2,2,29803,8,1,1,0,0,1
10057,101000000,10777,102,2015,2,진로설계2,2,29803,9,1,1,0,0,1
10058,101000000,11426,105,2015,2,군사학 2,3,35502,0,3,0,0,0,1
10059,101000000,10615,105,2015,2,백마인턴십 Ⅱ,4,10899,0,18,0,1,0,1
10060,101000000,11426,105,2015,2,군사학 4,4,35504,0,3,0,0,0,1
10061,101001001,10330,112,2015,2,국어작문1;표현과 논술,1,10411,0,3,1,0,0,1
10062,101001001,10343,112,2015,2,국어작문1;표현과 논술,1,10411,1,3,1,0,0,1
10063,101001001,10339,112,2015,2,국어작문1;표현과 논술,1,10411,2,3,1,0,0,1
10064,101001001,10329,112,2015,2,국어작문1;표현과 논술,1,10411,3,3,1,0,0,1
10065,101001001,10329,112,2015,2,국어작문1;표현과 논술,1,10411,4,3,1,0,0,1
10066,101001001,10342,112,2015,2,국어작문2;생활과 논술,1,10412,0,3,1,0,0,1
10067,101001001,10322,112,2015,2,한국어문학,1,10416,0,3,1,0,0,1
10068,101001001,10328,112,2015,2,영화와문학,1,10882,0,3,1,0,0,1
10069,101001001,10331,112,2015,2,영화와문학,1,10882,1,3,1,0,0,1
10070,101001001,10337,112,2015,2,영화와문학,1,10882,2,3,1,0,0,1
10071,101001001,,112,2015,2,화법과생활,1,10883,0,3,1,0,0,1
10072,101001001,10336,109,2015,2,국어형태론,1,11053,0,3,1,0,0,1
10073,101001001,10321,112,2015,2,공학논문작성과 발표,1,24336,0,3,1,0,0,1
10074,101001001,10353,112,2015,2,한국어2,1,28606,0,3,1,0,0,1
10075,101001001,10344,102,2015,2,기초글쓰기,1,29797,0,2,1,0,0,1
10076,101001001,10347,102,2015,2,기초글쓰기,1,29797,1,2,1,0,0,1
10077,101001001,10347,102,2015,2,기초글쓰기,1,29797,2,2,1,0,0,1
10078,101001001,10353,102,2015,2,기초글쓰기,1,29797,3,2,1,0,0,1
10079,101001001,10322,102,2015,2,기초글쓰기,1,29797,4,2,1,0,0,1
10080,101001001,10342,102,2015,2,기초글쓰기,1,29797,5,2,1,0,0,1
10081,101001001,10333,102,2015,2,기초글쓰기,1,29797,6,2,1,0,0,1
10082,101001001,10333,102,2015,2,기초글쓰기,1,29797,7,2,1,0,0,1
10083,101001001,10321,102,2015,2,기초글쓰기,1,29797,8,2,1,0,0,1
10084,101001001,10340,102,2015,2,기초글쓰기,1,29797,9,2,1,0,0,1
10085,101001001,10353,102,2015,2,기초글쓰기,1,29797,10,2,1,0,0,1
10086,101001001,10344,102,2015,2,기초글쓰기,1,29797,11,2,1,0,0,1
10087,101001001,10342,102,2015,2,기초글쓰기,1,29797,12,2,1,0,0,1
10088,101001001,10328,102,2015,2,기초글쓰기,1,29797,13,2,1,0,0,1
10089,101001001,10341,102,2015,2,기초글쓰기,1,29797,14,2,1,0,0,1
10090,101001001,10338,102,2015,2,기초글쓰기,1,29797,15,2,1,0,0,1
10091,101001001,10350,102,2015,2,기초글쓰기,1,29797,16,2,1,0,0,1
10092,101001001,10321,102,2015,2,기초글쓰기,1,29797,17,2,1,0,0,1
10093,101001001,10322,102,2015,2,기초글쓰기,1,29797,18,2,1,0,0,1
10094,101001001,10334,102,2015,2,기초글쓰기,1,29797,19,2,1,0,0,1
10095,101001001,10352,102,2015,2,기초글쓰기,1,29797,20,2,1,0,0,1
10096,101001001,10352,102,2015,2,기초글쓰기,1,29797,21,2,1,0,0,1
10097,101001001,10338,102,2015,2,기초글쓰기,1,29797,22,2,1,0,0,1
10098,101001001,10340,102,2015,2,기초글쓰기,1,29797,23,2,1,0,0,1
10099,101001001,10352,102,2015,2,기초글쓰기,1,29797,24,2,1,0,0,1
10100,101001001,10352,102,2015,2,기초글쓰기,1,29797,25,2,1,0,0,1
10101,101001001,10347,102,2015,2,기초글쓰기,1,29797,26,2,1,0,0,1
10102,101001001,10331,102,2015,2,기초글쓰기,1,29797,27,2,1,0,0,1
10103,101001001,,102,2015,2,기초글쓰기,1,29797,28,2,1,0,0,1
10104,101001001,10320,102,2015,2,기초글쓰기,1,29797,29,2,1,0,0,1
10105,101001001,10334,102,2015,2,기초글쓰기,1,29797,30,2,1,0,0,1
10106,101001001,10334,102,2015,2,기초글쓰기,1,29797,31,2,1,0,0,1
10107,101001001,10320,102,2015,2,기초글쓰기,1,29797,32,2,1,0,0,1
10108,101001001,10320,102,2015,2,기초글쓰기,1,29797,33,2,1,0,0,1
10109,101001001,10332,102,2015,2,기초글쓰기,1,29797,34,2,1,0,0,1
10110,101001001,10332,102,2015,2,기초글쓰기,1,29797,35,2,1,0,0,1
10111,101001001,10327,102,2015,2,기초글쓰기,1,29797,36,2,1,0,0,1
10112,101001001,10327,102,2015,2,기초글쓰기,1,29797,37,2,1,0,0,1
10113,101001001,10350,102,2015,2,기초글쓰기,1,29797,38,2,1,0,0,1
10114,101001001,10350,102,2015,2,기초글쓰기,1,29797,39,2,1,0,0,1
