lecture_id,classroom_id,day,starttime,endtime
20001,1003007,1,900,1030
20001,1003007,3,900,1030
20002,1003007,1,1500,1800
20003,1003007,4,1500,1800
20004,1003027,1,900,1030
20004,1003027,4,1500,1630
20005,1003021,1,900,1030
20005,1003021,4,1500,1630
20006,1003027,2,1330,1500
20006,1003027,4,1030,1200
20007,1003021,2,1330,1500
20007,1003021,4,1030,1200
20008,1003027,3,1330,1500
20008,1003027,5,1200,1330
20009,1004035,2,1500,1630
20009,1004035,4,900,1030
20010,1003027,3,1500,1630
20010,1003027,5,900,1030
20011,1003021,3,1500,1630
20011,1003021,5,900,1030
20012,1003027,2,1500,1630
20012,1003027,4,900,1030
20013,1003027,2,900,1030
20013,1003027,5,1500,1630
20014,1006006,5,900,1000
20014,1006006,5,1000,1200
20015,1006006,5,1300,1400
20015,1006006,5,1400,1600
20016,1006014,5,900,1000
20016,1006014,5,1000,1200
20017,1006014,5,1300,1400
20017,1006014,5,1400,1600
20018,1006014,4,1500,1600
20018,1006014,4,1600,1800
20019,1016002,2,900,1000
20019,1016002,2,1000,1200
20020,1016002,2,1300,1400
20020,1016002,2,1400,1600
20021,1003025,1,1330,1500
20021,1003025,3,900,1030
20022,1003016,1,1330,1500
20022,1003016,3,900,1030
20023,1003025,3,1630,1800
20023,1003025,5,1030,1200
20024,1003016,3,1630,1800
20024,1003016,5,1030,1200
20025,1012003,3,1330,1500
20025,1012003,5,1200,1330
20026,1012003,1,1200,1330
20026,1012003,3,1030,1200
20029,1016004,1,1600,1800
20030,1016004,2,1400,1600
20031,1016004,2,1600,1800
20034,1012024,1,1000,1200
20035,1012024,1,1300,1500
20036,1999006,1,1300,1500
20037,1024018,1,1030,1200
20037,1024018,4,1200,1330
20038,1012027,3,1330,1500
20038,1012027,5,1200,1330
20039,1012005,1,1200,1330
20039,1012005,3,1030,1200
20040,1012005,2,1030,1200
20040,1012005,5,1330,1500
20041,1012005,2,1200,1330
20041,1012005,5,1630,1800
20042,1012009,1,1600,1700
20043,1012009,1,1700,1800
20044,1012009,2,900,1000
20045,1012009,4,900,1000
20046,1012009,2,1600,1700
20047,1012009,2,1700,1800
20048,1012009,3,1200,1300
20049,1012009,3,1300,1400
20050,1012009,4,1200,1300
20051,1012009,4,1300,1400
20052,1016004,2,1000,1200
20053,1012005,2,900,1030
20053,1012016,3,900,1030
20054,1012024,1,1500,1630
20054,1012024,2,1500,1630
20055,1012005,3,1630,1800
20055,1012005,5,1030,1200
20056,1012002,2,1000,1300
20057,,1,800,1100
20057,,5,1400,1700
20058,,1,800,1100
20058,,5,1400,1700
20071,1012020,1,1330,1500
20071,1012020,3,900,1030
20072,1012020,1,1030,1200
20072,1012020,4,1330,1500
20073,1012020,1,1200,1330
20073,1012020,3,1030,1200
20074,1012020,1,1500,1630
20074,1012020,4,1630,1800
20075,1012020,1,900,1030
20075,1012020,4,1500,1630
20076,1012020,2,1630,1800
20076,1012020,4,1200,1330
20077,1012027,1,1200,1330
20077,1012027,3,1030,1200
20078,1012027,1,1630,1800
20078,1012027,3,1200,1330
20079,1012027,1,1330,1500
20079,1012027,3,900,1030
20080,1012027,1,1030,1200
20080,1012027,4,1330,1500
20081,1012020,2,900,1030
20081,1012020,5,1500,1630
20082,1023004,1,900,1100
20082,1023004,3,1100,1200
20083,1023012,1,900,1100
20083,1023012,3,1100,1200
20084,1023005,2,1600,1700
20084,1023005,5,1000,1200
20085,1023012,2,1600,1700
20085,1023012,5,1000,1200
20086,1012020,1,1630,1800
20086,1012020,3,1200,1330
20087,1012020,2,1200,1330
20087,1012020,5,1630,1800
20088,1012018,1,900,1100
20089,1012018,1,1100,1300
20090,1012018,1,1300,1500
20091,1012018,1,1500,1700
20092,1012018,2,900,1100
20093,1012018,2,1100,1300
20094,1012018,2,1300,1500
20095,1012018,2,1500,1700
20096,1012018,3,900,1100
20097,1012018,3,1100,1300
20098,1012018,3,1300,1500
