lecture_id,classroom_id,day,starttime,endtime
10002,1003006,1,1100,1230
10002,1003006,3,1100,1230
10004,1003017,1,1630,1800
10004,1003017,3,1200,1330
10005,1003018,1,1330,1500
10005,1003018,3,900,1030
10006,1003018,1,1500,1630
10006,1003018,4,1630,1800
10007,1003018,1,1630,1800
10007,1003018,3,1200,1330
10008,1003018,2,1500,1630
10008,1003018,4,900,1030
10009,1003018,2,1630,1800
10009,1003018,4,1200,1330
10010,1003001,1,1330,1500
10010,1003001,3,900,1030
10011,1016002,1,900,1000
10011,1016002,1,1000,1200
10012,1016002,1,1500,1600
10012,1016002,1,1600,1800
10013,1012003,1,1500,1630
10013,1012003,4,1630,1800
10014,1012003,1,900,1030
10014,1012003,4,1500,1630
10016,1016004,1,1600,1800
10017,1016004,2,1400,1600
10018,1016004,2,1600,1800
10021,1012024,1,1000,1200
10022,1012024,1,1300,1500
10023,1999006,1,1300,1500
10029,1012015,4,1500,1800
10030,1002025,3,1300,1600
10031,1012015,5,1330,1630
10032,1016004,2,1000,1200
10048,1012021,1,900,1000
10049,1012021,1,1300,1400
10050,1012021,2,900,1000
10051,1012021,2,1300,1400
10052,1012021,3,900,1000
10053,1012021,3,1700,1800
10054,1012021,4,900,1000
10055,1012021,4,1200,1300
10056,1012021,4,1300,1400
10057,1012021,5,900,1000
10058,,4,1400,1700
10058,,5,800,1100
10060,,4,1400,1700
10060,,5,800,1100
10061,1012012,1,1330,1500
10061,1012012,3,900,1030
10062,1012012,1,1030,1200
10062,1012012,4,1330,1500
10063,1012012,1,1200,1330
10063,1012012,3,1030,1200
10064,1012012,1,1500,1630
10064,1012012,4,1630,1800
10065,1012012,1,900,1030
10065,1012012,4,1500,1630
10066,1012012,2,1630,1800
10066,1012012,4,1200,1330
10067,1012012,2,1200,1330
10067,1012012,5,1630,1800
10068,1012012,2,1500,1630
10068,1012012,4,900,1030
10069,1012012,2,1030,1200
10069,1012012,5,1330,1500
10070,1012012,2,1330,1500
10070,1012012,4,1030,1200
10072,1023004,1,1000,1200
10072,1023004,3,1000,1100
10073,1003024,2,1030,1200
10073,1003024,5,1330,1500
10074,1012020,1,1200,1330
10074,1012020,3,1030,1200
10075,1012018,1,900,1100
10076,1012018,1,1100,1300
10077,1012018,1,1300,1500
10078,1012018,1,1500,1700
10079,1012018,2,900,1100
10080,1012018,2,1100,1300
10081,1012018,2,1300,1500
10082,1012018,2,1500,1700
10083,1012018,3,900,1100
